,Applicant ID,Application Date,Age,Cibil Score,Loan Type,Loan Amount,Interest Rate,Date Open,Date Close,EMI Amount,Credit Limit,Current Balance,dpd String,High Credit Amount,Postalcode
0,8709,02-02-2023,58,576,Home Loan,64118,8.77,27-02-2023,01-05-2024,5623.15,62992,32791,"0,90,30,0,120,0,0,0,0,120,150,0,150,0,180,0,0,120,0,180,90,0,0,60,60,0,0,0,90,0",62297,96861
1,1137,06-11-2022,46,442,Home Loan,802861,8.71,09-10-2022,24-08-2023,69929.19,46029,25367,"0,0,0,0,0,0,180,90,90,30,0,0,90,150,30,0,180,60,120,0,60,150,0,0,30,0,30,0,180,120",11300,58595
2,2951,18-01-2023,27,827,Auto Loan,799151,6.11,13-01-2023,13-05-2024,48828.13,78308,10282,"0,0,30,180,90,0,0,0,0,0,0,120,150,0,0,0,0,0,0,180,0,0,0,0,30,0,0,30,180,0",35208,29023
3,1290,25-12-2022,24,457,Auto Loan,380486,11.99,26-07-2022,02-02-2024,45620.27,29928,281,"90,60,0,30,0,0,120,30,90,0,0,90,90,0,90,0,60,0,150,0,0,120,60,30,0,0,180,120,60,0",24323,30815
4,9838,23-08-2022,29,686,Auto Loan,345561,10.71,16-02-2023,03-03-2024,37009.58,31859,3951,"0,0,0,0,0,60,0,150,0,0,30,0,0,0,0,90,90,0,0,0,0,0,180,90,0,0,60,150,150,0",23566,26503
5,4791,31-10-2022,34,758,Home Loan,24892,5.93,20-04-2023,14-06-2024,1476.1,60671,23572,"120,0,0,0,0,150,0,30,150,0,0,0,0,30,0,30,60,0,90,0,0,0,0,90,0,0,0,150,180,0",52745,93755
6,2391,05-06-2023,56,302,Home Loan,721342,6.62,30-04-2023,22-08-2023,47752.84,32214,7106,"90,0,0,0,180,0,0,0,0,0,0,150,0,150,0,60,0,30,0,0,60,150,90,150,0,0,0,0,60,90",13033,73009
7,3341,13-07-2022,58,764,Personal Loan,930744,10.58,09-07-2022,19-07-2023,98472.72,58374,6706,"150,30,0,120,120,180,180,180,90,0,0,90,180,0,60,0,0,0,0,60,0,30,120,90,0,180,0,30,0,60",11004,76202
8,1312,06-01-2023,33,831,Personal Loan,443688,7.39,07-12-2022,22-05-2024,32788.54,65238,43494,"60,0,150,0,180,0,0,0,0,0,0,90,0,0,0,0,0,150,0,0,0,90,0,150,0,0,0,60,0,0",38872,55169
9,8000,22-09-2022,28,659,Auto Loan,664133,14.87,14-06-2023,08-05-2024,98756.58,61451,57207,"0,0,0,0,180,150,180,0,120,120,0,150,150,0,0,0,0,0,180,0,0,0,150,120,0,30,120,0,150,0",49939,28681
10,1249,19-12-2022,35,303,Personal Loan,12866,10.28,28-11-2022,04-12-2023,1322.62,55002,3799,"90,150,90,0,180,0,0,0,0,150,150,0,0,0,0,30,30,150,0,150,150,30,0,120,0,0,0,0,0,0",45118,11609
11,1130,24-11-2022,44,718,Personal Loan,896283,12.8,09-02-2023,02-03-2024,114724.22,70307,18071,"0,150,0,150,90,150,0,120,30,0,0,0,0,60,0,180,0,0,0,0,0,30,60,0,30,0,30,180,180,180",70022,99516
